MasterTime;Small;Large;RelHumidity;OutdoorTemp
2010-03-19 23:06:30;93956;9692;16.092572103709944;46.23712927323203
2010-02-02 07:23:24;91761;5123;51.00275342486644;-10.70330384107212
2010-03-02 13:20:14;1306;79847;94.47651510768141;47.85512701729198
2010-03-10 21:36:21;21880;26692;14.570346598714334;28.84526977023323
2010-01-17 13:44:29;79997;92487;63.48128052990264;-18.84449072487115
2010-02-17 17:07:53;12220;32176;15.255345835535106;-5.0825383529516515
2010-02-12 22:26:23;27029;30400;29.46074310483182;13.155014631171028
2010-03-09 16:51:05;91425;50720;79.57437020999097;83.66779599690608
2010-01-29 18:07:02;47258;17595;8.192541251726082;-14.494378551186372
2010-02-26 16:52:39;42127;9896;38.46278547185437;83.35376223939465
2010-02-03 03:32:28;56343;77747;88.08211423172312;73.37577426667849
2010-03-18 19:13:43;19843;25618;98.13208395269353;-13.890940135935345
2010-01-05 18:48:55;61481;14767;16.79110497087314;-41.58516631036266
2010-02-02 01:12:00;48795;98570;34.454290042111246;63.40500946697807
2010-01-16 18:57:40;42947;42803;34.030625015189756;33.65102601233386
2010-03-25 19:46:10;35763;4030;89.58058672900555;60.0578684156624
2010-01-03 13:42:13;54150;39053;8.444101273568815;62.375277369083804
2010-03-17 18:04:43;46561;62709;92.53857061923823;-22.72187929243884
2010-01-01 23:34:31;22533;79757;29.754263775552925;76.17503860934671
2010-02-03 00:22:54;95069;84067;96.02464743015545;12.712658852137963
2010-01-11 15:54:22;25224;24853;12.881849320483397;-14.150970005077099
2010-03-30 18:16:30;39385;41878;84.63135990273568;73.33074030955858
2010-01-20 22:33:38;85025;86304;84.32998940752438;49.90147950650797
2010-03-01 19:21:41;26800;47042;29.11214284314516;-1.453077569534102
2010-03-27 05:22:10;48905;47209;45.09612949497341;62.395213495031726
2010-02-01 06:30:13;90812;67961;1.214839818980662;79.57120060304166
2010-03-14 16:00:38;64956;9198;14.891329677381338;76.99607745231033
2010-02-26 04:22:08;2447;49626;85.96120482562756;39.79334589640622
2010-01-05 15:44:23;17536;88257;48.10324697494196;32.68616629724639
2010-03-17 06:15:23;19879;1680;24.58513778445115;14.460888331787686
2010-03-08 10:47:22;65179;92085;32.869513441412536;23.640388447456914
2010-01-15 14:12:39;33835;9520;21.981481997675356;-35.28346718666899
2010-03-01 11:42:16;87658;3514;36.89352648244891;89.11426757687872
2010-01-13 03:23:15;76164;45480;28.868563794727052;93.19901136176622
2010-03-03 16:44:46;43654;21027;38.63583652257267;1.4523763518193178
2010-01-28 20:00:34;76716;18186;53.70281064772476;81.04494239336952
2010-01-22 07:17:52;30562;21944;82.3067648551215;-27.506832579666746
2010-01-02 18:18:46;66835;98516;7.73381526178577;-30.269361679343444
2010-01-17 08:04:17;79790;76534;14.173314549573767;52.51518431603559
2010-03-27 09:13:05;32122;11429;16.53153383401684;-17.373804405220284
2010-03-26 15:57:14;72371;76783;91.9799139870975;-6.471595644752107
2010-03-19 11:33:13;47859;8368;85.16600796492295;17.846204947940464
2010-02-10 02:52:31;38405;21881;25.29460542905726;19.744736080125506
2010-01-08 19:49:03;78690;59001;27.96502145651002;36.256079363914054
2010-03-12 03:53:38;93280;86180;82.806228133639;69.8813745665813
2010-02-16 06:16:08;58724;89152;0.5642431231712708;13.471100113395849
2010-01-16 04:08:43;44523;17299;90.41058114577237;9.771132509301331
2010-02-18 20:13:28;77279;40564;76.60955283622931;69.72079995744282
2010-03-08 15:27:28;22108;84921;19.995852250542857;46.31101292703296
2010-01-23 09:42:08;70551;42359;72.77484717101788;38.11964445437073
2010-01-24 08:02:58;1492;18627;70.14749096551995;-39.927435494901516
2010-02-18 04:56:48;47984;74641;81.2926125713502;53.26123305764044
2010-03-27 13:46:32;64013;74979;21.597989255070825;-8.695352107895928
2010-01-30 21:21:56;6987;83960;48.512254318662464;-31.547318891608615
2010-02-25 23:05:13;53585;8931;8.455600786761297;32.21120864832915
2010-03-14 16:40:56;39034;37269;51.156941898338516;-5.515395386273191
2010-01-20 18:27:18;8029;17761;36.76667066481565;35.23317257694157
2010-02-28 21:45:17;94981;20093;51.356091521537806;-45.99436107380639
2010-01-19 09:11:28;26909;54074;8.011988473618391;24.121838463543583
2010-02-19 16:00:37;853;1985;79.16511119601999;88.65842984310328
2010-03-08 00:08:37;94605;56428;12.980426639005094;22.62774731224276
2010-03-08 08:51:29;93567;47945;15.743277980429681;-9.587247854128272
2010-03-06 23:27:43;18388;62400;35.1735672257075;46.48789562675691
2010-01-23 11:20:57;24238;43029;10.197746575903166;-8.444370409084698
2010-02-06 02:40:26;95899;56394;62.07876277704574;-41.892077938704546
2010-01-10 04:23:20;22801;39822;31.31445836366076;-31.69973618669998
2010-01-24 06:30:01;24162;64823;82.96092041167708;17.625803664851986
2010-03-15 19:33:18;92384;63370;83.28215948081188;22.6674716595617
2010-01-02 12:03:59;4682;7949;71.98848694023384;30.40631879833603
2010-01-22 10:47:50;50740;43102;54.2822372738066;36.81840792402268
2010-03-06 01:43:24;97739;13547;47.317449831733505;0.5398835696854931
2010-03-25 01:43:21;69914;79346;21.953887022986287;57.03109236212083
